PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
CZ01;PARTY;7;Renew;PROVISIONAL;2024-06-09 23:25
CZ02;PARTY;1;GREENSEFA;PROVISIONAL;2024-06-09 23:25
CZ03;PARTY;2;EPP;PROVISIONAL;2024-06-09 23:25
CZ04;PARTY;1;Theleft;PROVISIONAL;2024-06-09 23:25
CZ04;PARTY;1;Others;PROVISIONAL;2024-06-09 23:25
CZ07;PARTY;3;EPP;PROVISIONAL;2024-06-09 23:25
CZ07;PARTY;3;ECR;PROVISIONAL;2024-06-09 23:25
CZ09;PARTY;2;Others;PROVISIONAL;2024-06-09 23:25
CZ10;PARTY;1;ID;PROVISIONAL;2024-06-09 23:25
