GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;22;3.06;PROVISIONAL;2024-06-09 23:25
SD;20;2.78;PROVISIONAL;2024-06-09 23:25
ECR;6;0.83;PROVISIONAL;2024-06-09 23:25
Renew;1;0.14;PROVISIONAL;2024-06-09 23:25
Theleft;3;0.42;PROVISIONAL;2024-06-09 23:25
GREENSEFA;4;0.56;PROVISIONAL;2024-06-09 23:25
NI;1;0.14;PROVISIONAL;2024-06-09 23:25
Others;4;0.56;PROVISIONAL;2024-06-09 23:25
