PARTY_ID,TYPE,VOTES_PERCENT,UPDATE_STATUS,UPDATE_TIME
EL12,PARTY,1.08,FINAL,2024-06-10 09:01
EL90,PARTY,7.1,FINAL,2024-06-10 09:01
ES01,PARTY,30.18,PROVISIONAL,2024-06-11 15:52
ES02,PARTY,34.2,PROVISIONAL,2024-06-11 15:52
ES03,PARTY,4.65,PROVISIONAL,2024-06-11 15:52
ES04,PARTY,3.28,PROVISIONAL,2024-06-11 15:52
ES05,PARTY,9.62,PROVISIONAL,2024-06-11 15:52
ES06,PARTY,2.54,PROVISIONAL,2024-06-11 15:52
ES07,PARTY,4.91,PROVISIONAL,2024-06-11 15:52
ES08,PARTY,1.61,PROVISIONAL,2024-06-11 15:52
ES09,PARTY,0.69,PROVISIONAL,2024-06-11 15:52
ES10,PARTY,0.18,PROVISIONAL,2024-06-11 15:52
ES11,PARTY,4.59,PROVISIONAL,2024-06-11 15:52
ES90,PARTY,3.55,PROVISIONAL,2024-06-11 15:52
BE01,PARTY,22.09,FINAL,2024-06-10 14:26
BE02,PARTY,22.94,FINAL,2024-06-10 14:26
BE03,PARTY,9.11,FINAL,2024-06-10 14:26
BE04,PARTY,13.2,FINAL,2024-06-10 14:26
BE05,PARTY,10.0,FINAL,2024-06-10 14:26
BE06,PARTY,12.64,FINAL,2024-06-10 14:26
BE07,PARTY,8.12,FINAL,2024-06-10 14:26
BE90,PARTY,1.9,FINAL,2024-06-10 14:26
FI01,PARTY,24.8,PROVISIONAL,2024-06-09 23:25
FI02,PARTY,11.3,PROVISIONAL,2024-06-09 23:25
FI03,PARTY,14.9,PROVISIONAL,2024-06-09 23:25
FI04,PARTY,7.6,PROVISIONAL,2024-06-09 23:25
FI05,PARTY,11.8,PROVISIONAL,2024-06-09 23:25
FI06,PARTY,17.3,PROVISIONAL,2024-06-09 23:25
FI07,PARTY,6.2,PROVISIONAL,2024-06-09 23:25
FI08,PARTY,4.6,PROVISIONAL,2024-06-09 23:25
FI90,PARTY,1.5,PROVISIONAL,2024-06-09 23:25
FR01,PARTY,31.37,FINAL,2024-06-10 11:38
FR02,PARTY,14.6,FINAL,2024-06-10 11:38
FR03,PARTY,5.5,FINAL,2024-06-10 11:38
FR04,PARTY,7.25,FINAL,2024-06-10 11:38
FR05,PARTY,9.89,FINAL,2024-06-10 11:38
FR06,PARTY,13.83,FINAL,2024-06-10 11:38
FR07,PARTY,2.36,FINAL,2024-06-10 11:38
FR08,PARTY,5.47,FINAL,2024-06-10 11:38
FR09,PARTY,2.35,FINAL,2024-06-10 11:38
FR10,PARTY,2.0,FINAL,2024-06-10 11:38
FR11,PARTY,1.02,FINAL,2024-06-10 11:38
FR12,PARTY,0.93,FINAL,2024-06-10 11:38
FR13,PARTY,0.15,FINAL,2024-06-10 11:38
FR90,PARTY,3.28,FINAL,2024-06-10 11:38
BE14,PARTY,34.93,FINAL,2024-06-10 14:26
BE15,PARTY,11.82,FINAL,2024-06-10 14:26
BE16,PARTY,13.57,FINAL,2024-06-10 14:26
BE17,PARTY,16.43,FINAL,2024-06-10 14:26
BE18,PARTY,11.1,FINAL,2024-06-10 14:26
BE92,PARTY,12.15,FINAL,2024-06-10 14:26
HR01,PARTY,34.6,FINAL,2024-06-10 11:38
HR02,PARTY,25.96,FINAL,2024-06-10 11:38
HR03,PARTY,5.61,FINAL,2024-06-10 11:38
HR04,PARTY,4.02,FINAL,2024-06-10 11:38
HR05,PARTY,8.82,FINAL,2024-06-10 11:38
HR06,PARTY,5.92,FINAL,2024-06-10 11:38
HR90,PARTY,15.07,FINAL,2024-06-10 11:38
HU01,PARTY,44.79,PROVISIONAL,2024-06-10 16:14
HU02,PARTY,3.67,PROVISIONAL,2024-06-10 16:14
HU03,PARTY,1.0,PROVISIONAL,2024-06-10 16:14
HU04,PARTY,6.74,PROVISIONAL,2024-06-10 16:14
HU05,PARTY,3.57,PROVISIONAL,2024-06-10 16:14
HU06,PARTY,0.87,PROVISIONAL,2024-06-10 16:14
HU07,PARTY,0.64,PROVISIONAL,2024-06-10 16:14
HU08,PARTY,29.6,PROVISIONAL,2024-06-10 16:14
HU09,PARTY,8.08,PROVISIONAL,2024-06-10 16:14
HU10,PARTY,0.68,PROVISIONAL,2024-06-10 16:14
HU11,PARTY,0.36,PROVISIONAL,2024-06-10 16:14
HU90,PARTY,0.0,PROVISIONAL,2024-06-10 16:14
IE01,PARTY,18.5,ESTIMATE,2024-06-11 17:46
IE02,PARTY,16.4,ESTIMATE,2024-06-11 17:46
IE03,PARTY,23.5,ESTIMATE,2024-06-11 17:46
IE04,PARTY,19.2,ESTIMATE,2024-06-11 17:46
IE05,PARTY,5.1,ESTIMATE,2024-06-11 17:46
IE06,PARTY,4.3,ESTIMATE,2024-06-11 17:46
IE07,PARTY,3.4,ESTIMATE,2024-06-11 17:46
IE08,PARTY,4.7,ESTIMATE,2024-06-11 17:46
IE09,PARTY,4.0,ESTIMATE,2024-06-11 17:46
IE90,PARTY,0.9,ESTIMATE,2024-06-11 17:46
IT01,PARTY,8.98,PROVISIONAL,2024-06-11 15:52
IT02,PARTY,24.11,PROVISIONAL,2024-06-11 15:52
IT03,PARTY,9.98,PROVISIONAL,2024-06-11 15:52
IT04,PARTY,9.59,PROVISIONAL,2024-06-11 15:52
IT05,PARTY,28.76,PROVISIONAL,2024-06-11 15:52
IT06,PARTY,6.78,PROVISIONAL,2024-06-11 15:52
IT07,PARTY,3.35,PROVISIONAL,2024-06-11 15:52
IT08,PARTY,0.52,PROVISIONAL,2024-06-11 15:52
IT09,PARTY,0.15,PROVISIONAL,2024-06-11 15:52
IT10,PARTY,2.21,PROVISIONAL,2024-06-11 15:52
IT11,PARTY,3.77,PROVISIONAL,2024-06-11 15:52
IT12,PARTY,1.22,PROVISIONAL,2024-06-11 15:52
IT90,PARTY,0.58,PROVISIONAL,2024-06-11 15:52
LT01,PARTY,21.33,FINAL,2024-06-10 11:38
LT02,PARTY,17.98,FINAL,2024-06-10 11:38
LT03,PARTY,9.13,FINAL,2024-06-10 11:38
LT04,PARTY,1.66,FINAL,2024-06-10 11:38
LT05,PARTY,5.41,FINAL,2024-06-10 11:38
LT06,PARTY,5.78,FINAL,2024-06-10 11:38
LT07,PARTY,8.09,FINAL,2024-06-10 11:38
LT08,PARTY,5.25,FINAL,2024-06-10 11:38
LT09,PARTY,5.95,FINAL,2024-06-10 11:38
LT10,PARTY,3.79,FINAL,2024-06-10 11:38
LT11,PARTY,1.25,FINAL,2024-06-10 11:38
LT12,PARTY,5.45,FINAL,2024-06-10 11:38
LT13,PARTY,4.05,FINAL,2024-06-10 11:38
LT90,PARTY,4.88,FINAL,2024-06-10 11:38
LU01,PARTY,18.29,FINAL,2024-06-10 14:19
LU02,PARTY,22.91,FINAL,2024-06-10 14:19
LU03,PARTY,11.76,FINAL,2024-06-10 14:19
LU04,PARTY,21.72,FINAL,2024-06-10 14:19
LU05,PARTY,11.76,FINAL,2024-06-10 14:19
LU06,PARTY,4.92,FINAL,2024-06-10 14:19
LU07,PARTY,3.15,FINAL,2024-06-10 14:19
LU08,PARTY,0.97,FINAL,2024-06-10 14:19
LU09,PARTY,1.04,FINAL,2024-06-10 14:19
LU10,PARTY,1.6,FINAL,2024-06-10 14:19
LU11,PARTY,0.58,FINAL,2024-06-10 14:19
LU90,PARTY,1.3,FINAL,2024-06-10 14:19
LV01,PARTY,25.09,PROVISIONAL,2024-06-11 15:52
LV02,PARTY,7.13,PROVISIONAL,2024-06-11 15:52
LV03,PARTY,22.07,PROVISIONAL,2024-06-11 15:52
LV04,PARTY,0.32,PROVISIONAL,2024-06-11 15:52
LV05,PARTY,9.36,PROVISIONAL,2024-06-11 15:52
LV06,PARTY,2.28,PROVISIONAL,2024-06-11 15:52
LV07,PARTY,8.18,PROVISIONAL,2024-06-11 15:52
LV08,PARTY,1.5,PROVISIONAL,2024-06-11 15:52
LV09,PARTY,7.45,PROVISIONAL,2024-06-11 15:52
