COUNTRY_ID;MEN;WOMEN;UPDATE_STATUS;UPDATE_TIME
BE;67.0;33.0;CONSTITUTIVE;
DK;57.0;43.0;CONSTITUTIVE;
DE;67.0;33.0;CONSTITUTIVE;
IE;62.0;38.0;CONSTITUTIVE;
FR;55.0;45.0;CONSTITUTIVE;
IT;79.0;21.0;CONSTITUTIVE;
LU;50.0;50.0;CONSTITUTIVE;
NL;52.0;48.0;CONSTITUTIVE;
UK;74.0;26.0;CONSTITUTIVE;
EL;71.0;29.0;CONSTITUTIVE;
ES;75.0;25.0;CONSTITUTIVE;
PT;75.0;25.0;CONSTITUTIVE;
SE;53.0;47.0;CONSTITUTIVE;
AT;72.0;28.0;CONSTITUTIVE;
FI;57.0;43.0;CONSTITUTIVE;
CZ;79.0;21.0;CONSTITUTIVE;
EE;50.0;50.0;CONSTITUTIVE;
CY;100.0;0.0;CONSTITUTIVE;
LT;62.0;38.0;CONSTITUTIVE;
LV;67.0;33.0;CONSTITUTIVE;
HU;63.0;37.0;CONSTITUTIVE;
MT;100.0;0.0;CONSTITUTIVE;
PL;85.0;15.0;CONSTITUTIVE;
SI;57.0;43.0;CONSTITUTIVE;
SK;64.0;36.0;CONSTITUTIVE;
BG;56.0;44.0;CONSTITUTIVE;
RO;71.0;29.0;CONSTITUTIVE;
