COUNTRY_ID;MEN;WOMEN;UPDATE_STATUS;UPDATE_TIME
BE;64.0;36.0;CONSTITUTIVE;
DK;54.0;46.0;CONSTITUTIVE;
DE;63.0;37.0;CONSTITUTIVE;
IE;85.0;15.0;CONSTITUTIVE;
FR;56.0;44.0;CONSTITUTIVE;
IT;79.0;21.0;CONSTITUTIVE;
LU;83.0;17.0;CONSTITUTIVE;
NL;52.0;48.0;CONSTITUTIVE;
UK;67.0;33.0;CONSTITUTIVE;
EL;68.0;32.0;CONSTITUTIVE;
ES;64.0;36.0;CONSTITUTIVE;
PT;64.0;36.0;CONSTITUTIVE;
SE;44.0;56.0;CONSTITUTIVE;
AT;59.0;41.0;CONSTITUTIVE;
FI;38.0;62.0;CONSTITUTIVE;
CZ;82.0;18.0;CONSTITUTIVE;
EE;50.0;50.0;CONSTITUTIVE;
CY;67.0;33.0;CONSTITUTIVE;
LT;75.0;25.0;CONSTITUTIVE;
LV;62.0;38.0;CONSTITUTIVE;
HU;64.0;36.0;CONSTITUTIVE;
MT;100.0;0.0;CONSTITUTIVE;
PL;78.0;22.0;CONSTITUTIVE;
SI;71.0;29.0;CONSTITUTIVE;
SK;62.0;38.0;CONSTITUTIVE;
BG;59.0;41.0;CONSTITUTIVE;
RO;64.0;36.0;CONSTITUTIVE;
HR;67.0;33.0;CONSTITUTIVE;
