PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
PT01;PARTY;8;SD;PROVISIONAL;2024-06-10 02:37
PT02;PARTY;7;EPP;PROVISIONAL;2024-06-10 02:37
PT03;PARTY;1;Theleft;PROVISIONAL;2024-06-10 02:37
PT04;PARTY;1;Theleft;PROVISIONAL;2024-06-10 02:37
PT07;PARTY;2;Renew;PROVISIONAL;2024-06-10 02:37
PT08;PARTY;2;ID;PROVISIONAL;2024-06-10 02:37
