GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;186;25.83;PROVISIONAL;2024-06-10 16:14
SD;135;18.75;PROVISIONAL;2024-06-10 16:14
ECR;73;10.14;PROVISIONAL;2024-06-10 16:14
Renew;79;10.97;PROVISIONAL;2024-06-10 16:14
Theleft;36;5.0;PROVISIONAL;2024-06-10 16:14
GREENSEFA;53;7.36;PROVISIONAL;2024-06-10 16:14
ID;58;8.06;PROVISIONAL;2024-06-10 16:14
Others;55;7.64;PROVISIONAL;2024-06-10 16:14
NI;45;6.25;PROVISIONAL;2024-06-10 16:14
