GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0001;112;27.32;CONSTITUTIVE;
GP0002;108;26.34;CONSTITUTIVE;
GP0003;63;15.37;CONSTITUTIVE;
GP0004;44;10.73;CONSTITUTIVE;
GP0005;40;9.76;CONSTITUTIVE;
GP0006;22;5.37;CONSTITUTIVE;
GP0007;11;2.68;CONSTITUTIVE;
NA;10;2.44;CONSTITUTIVE;
