GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1201;265;36.01;CONSTITUTIVE;
GP1202;184;25.0;CONSTITUTIVE;
GP1203;84;11.41;CONSTITUTIVE;
GP1204;55;7.47;CONSTITUTIVE;
GP1205;54;7.34;CONSTITUTIVE;
GP1206;35;4.76;CONSTITUTIVE;
GP1207;32;4.35;CONSTITUTIVE;
NA;27;3.67;CONSTITUTIVE;
