GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0401;180;34.75;CONSTITUTIVE;
GP0402;121;23.36;CONSTITUTIVE;
GP0403;49;9.46;CONSTITUTIVE;
GP0404;34;6.56;CONSTITUTIVE;
GP0405;30;5.79;CONSTITUTIVE;
GP0406;28;5.41;CONSTITUTIVE;
GP0407;20;3.86;CONSTITUTIVE;
GP0408;17;3.28;CONSTITUTIVE;
GP0409;14;2.7;CONSTITUTIVE;
GP0410;13;2.51;CONSTITUTIVE;
NA;12;2.0;CONSTITUTIVE;
