GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
EPP;176;24.96;OUTGOING;
SD;139;19.71;OUTGOING;
ECR;69;9.78;OUTGOING;
Renew;102;14.46;OUTGOING;
GUENGL;37;5.24;OUTGOING;
GREENSEFA;71;10.0;OUTGOING;
ID;49;6.95;OUTGOING;
NA;62;8.79;OUTGOING;
