GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0201;130;29.95;CONSTITUTIVE;
GP0202;110;25.35;CONSTITUTIVE;
GP0203;50;11.52;CONSTITUTIVE;
GP0204;41;9.45;CONSTITUTIVE;
GP0205;31;7.14;CONSTITUTIVE;
GP0206;29;6.68;CONSTITUTIVE;
GP0207;20;4.61;CONSTITUTIVE;
GP0208;16;3.69;CONSTITUTIVE;
NA;7;1.61;CONSTITUTIVE;
