GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP1501;216;28.84;OUTGOING;
GP1502;185;24.7;OUTGOING;
GP1503;77;10.28;OUTGOING;
GP1504;69;9.21;OUTGOING;
GP1505;52;6.94;OUTGOING;
GP1506;52;6.94;OUTGOING;
GP1507;42;5.61;OUTGOING;
GP1509;36;4.81;OUTGOING;
NA;20;2.67;OUTGOING;
